time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-09T09:00:00-05:00,6004.5,6009.25,6003,6005.5,5988.348529178437,6007.70434275282
2025-06-09T09:05:00-05:00,6005.25,6007.75,6005.25,6007,5988.348529178437,6007.637262490646
2025-06-09T09:10:00-05:00,6006.75,6012,6006.5,6011.5,5988.348529178437,6008.005142253442
2025-06-09T09:15:00-05:00,6011.25,6013.25,6009,6011.5,5988.348529178437,6008.337985848352
2025-06-09T09:20:00-05:00,6011.5,6014.75,6011.5,6013.5,5988.348529178437,6008.829606243748
2025-06-09T09:25:00-05:00,6013.25,6015,6012,6012.25,5990.624859732872,6009.155358030057
2025-06-09T09:30:00-05:00,6012.5,6019.5,6011.25,6015.75,5990.624859732872,6009.783419170051
2025-06-09T09:35:00-05:00,6015.75,6016.25,6012.25,6014.25,5990.624859732872,6010.208807820522
2025-06-09T09:40:00-05:00,6014.5,6015.25,6009.25,6009.75,5990.624859732872,6010.165111837616
2025-06-09T09:45:00-05:00,6009.75,6010.25,6006.5,6007.75,5990.624859732872,6009.935101186415
2025-06-09T09:50:00-05:00,6007.5,6010.75,6005.5,6008,5990.624859732872,6009.750805835328
2025-06-09T09:55:00-05:00,6008,6010.5,6007.5,6010.25,5990.624859732872,6009.7983481367255
2025-06-09T10:00:00-05:00,6010.5,6013,6010,6011.25,5990.624859732872,6009.936600695132
2025-06-09T10:05:00-05:00,6011.5,6014,6011.25,6013.25,5990.624859732872,6010.252162533691
2025-06-09T10:10:00-05:00,6013.25,6014,6010.25,6010.75,5990.624859732872,6010.2995756257205
2025-06-09T10:15:00-05:00,6010.5,6012.25,6007.5,6009.25,5990.624859732872,6010.199616042319
2025-06-09T10:20:00-05:00,6009,6011.5,6006.25,6009.5,5990.624859732872,6010.13298594305
2025-06-09T10:25:00-05:00,6009.25,6009.75,6005.75,6007.25,5992.20820642498,6009.858415853236
2025-06-09T10:30:00-05:00,6007.5,6010.75,6007.25,6009.75,5992.20820642498,6009.84809053388
2025-06-09T10:35:00-05:00,6009.5,6012.5,6009.5,6012.25,5992.20820642498,6010.076843816368
2025-06-09T10:40:00-05:00,6012.25,6013,6010.25,6011.5,5992.20820642498,6010.212382500523
2025-06-09T10:45:00-05:00,6011.75,6013.25,6010.5,6012,5992.20820642498,6010.382631786188
2025-06-09T10:50:00-05:00,6012,6015.25,6012,6014.5,5992.20820642498,6010.774762092265
2025-06-09T10:55:00-05:00,6014.75,6015.5,6013,6014,5992.20820642498,6011.081927607287
2025-06-09T11:00:00-05:00,6014,6015.5,6012,6014,5992.20820642498,6011.359839263736
2025-06-09T11:05:00-05:00,6014,6015,6009,6011.25,5992.20820642498,6011.349378381476
2025-06-09T11:10:00-05:00,6011.5,6014.25,6010.25,6013.75,5992.20820642498,6011.578009011811
2025-06-09T11:15:00-05:00,6013.75,6014,6011.25,6013.25,5992.20820642498,6011.737246248782
2025-06-09T11:20:00-05:00,6013.5,6015.5,6012.5,6015,5992.20820642498,6012.047984701279
2025-06-09T11:25:00-05:00,6015,6015.5,6012.75,6013.25,5994.212186765458,6012.162462348777
2025-06-09T11:30:00-05:00,6013.25,6016.5,6013,6016.25,5994.212186765458,6012.5517516488935
2025-06-09T11:35:00-05:00,6016,6017.5,6015.25,6016.75,5994.212186765458,6012.9515848251895
2025-06-09T11:40:00-05:00,6017,6018.75,6015.75,6018.5,5994.212186765458,6013.480005318029
2025-06-09T11:45:00-05:00,6018.75,6020.75,6017.75,6019.25,5994.212186765458,6014.029528621074
2025-06-09T11:50:00-05:00,6019.5,6026.5,6019.25,6024.75,5994.212186765458,6015.050525895257
2025-06-09T11:55:00-05:00,6025,6025,6020.75,6022,5994.212186765458,6015.712380571899
2025-06-09T12:00:00-05:00,6022.25,6023.75,6020.75,6023,5994.212186765458,6016.406439565052
2025-06-09T12:05:00-05:00,6023.25,6025.5,6022.75,6023.25,5994.212186765458,6017.058207225523
2025-06-09T12:10:00-05:00,6023.5,6024.25,6020.25,6022.25,5994.212186765458,6017.552663680235
2025-06-09T12:15:00-05:00,6022.25,6022.5,6016.25,6018.5,5994.212186765458,6017.642886186879
2025-06-09T12:20:00-05:00,6018.5,6021.5,6017.25,6021.5,5994.212186765458,6018.010230359557
2025-06-09T12:25:00-05:00,6021.5,6026.75,6021.5,6024,5997.049121359224,6018.580684611027
2025-06-09T12:30:00-05:00,6023.75,6024,6021,6022,5997.049121359224,6018.9063336956915
2025-06-09T12:35:00-05:00,6022,6024.5,6021.25,6023.75,5997.049121359224,6019.367635248483
2025-06-09T12:40:00-05:00,6023.75,6025.75,6023,6025.75,5997.049121359224,6019.975479510532
2025-06-09T12:45:00-05:00,6025.75,6026,6024.25,6024.5,5997.049121359224,6020.4063862238145
2025-06-09T12:50:00-05:00,6024.75,6027.5,6024.75,6026.5,5997.049121359224,6020.986730392975
